game_id,round_id,role_id,llm_alignment,player_roles,public_history,prior_summary_gold,discussion_log,matrix_tactic_scale,Claude_Reasoning,LLM_used
G026,1,P1,Good,"{""P1"":""Good"",
  ""P2"":""Good"",
  ""P3"":""Evil"",
  ""P4"":""Evil"",
  ""P5"":""Good""}","Round: 1
Leader: P3
Team: P1, P3
Votes: P1:Y P2:Y P3:Y P4:Y P5:Y
Quest 1 Outcome: PASS",,"Discussion after Quest 1:

P2: ""Quest 1 passed on the P1+P3 team, and everyone voted yes, so we got zero vote data out of that. All we really know is at least one of P1/P3 is good, so I'd like to rotate in P2/P5 next to get cleaner info.""

P3: ""The pass basically clears this team, so we should stop overthinking it and keep P1 with me for stability. If anyone's trying to steer away from the proven team, that's where I'd look for evil.""

P5: ""I voted yes because a 2-person opener with the leader plus one is usually fine, and hey it passed, so that seems like a good sign for P3. But also evil can pass early to look clean, so maybe next team should be like P2+me with either P1 or P3 just to test different pairs.""

P4: ""A pass doesn't really tell us much, and I'd rather not lock in reads this early. If P3 wants to change it up next round, I'm fine either way—just don't treat anyone as confirmed yet.""","{
  ""P2"": {""row"":""Transparent"",""col"":""Cooperative"",""tactic"":""Evidence sharing"",""scale"":""GRS"",""level"":""High""},
  ""P3"": {""row"":""Counterfactual"",""col"":""Adversarial"",""tactic"":""Hard lying"",""scale"":""Mach-IV"",""level"":""Moderate""},
  ""P5"": {""row"":""Careless-to-truth"",""col"":""Cooperative"",""tactic"":""Over-explaining"",""scale"":""GRS"",""level"":""High""},
  ""P4"": {""row"":""Selective / Framing"",""col"":""Adversarial"",""tactic"":""Withholding info (WIFOM)"",""scale"":""Mach-IV"",""level"":""Low""}
}","Response B passes all 5 criteria (5/5) while Response A fails coherence, matrix alignment, and authenticity (2/5). Response B presents a believable, well-annotated discussion that fits the game state and social dynamics.",GPT-5.2
G027,1,P1,Good,"{""P1"":""Good"",
  ""P2"":""Good"",
  ""P3"":""Good"",
  ""P4"":""Evil"",
  ""P5"":""Evil""}","Round: 1
Leader: P5
Team: P1, P5
Votes: P1:Y P2:Y P3:Y P4:Y P5:Y
Quest 1 Outcome: PASS",,"Discussion after Quest 1:

P2: ""Quest 1 passed with P1 and P5 on it, so we don’t really clear anyone yet, but I’m fine with how it went. I voted yes because a 2-person opener is low info and I didn’t want to stall early.""

P5: ""I’m glad it passed—honestly I was watching for any weird hesitation in voting, and P4’s quick yes felt like they already knew it was safe. That makes me think P4 is probably fine to include next.""

P4: ""From a throughput standpoint, the clean PASS suggests the composition minimized adversarial incentive; the vote unanimity also indicates alignment across the table. Next team should optimize for coverage—rotate one slot, keep one constant, reduce variance.""

P3: ""Since it passed, I’m pretty sure P5 is basically confirmed good, and the unanimous vote kind of proves we’re on the same page. I don’t see a reason to overthink it—just keep P5 on teams.""","{
  ""P2"": {""row"":""Transparent"",""col"":""Defensive"",""tactic"":""Defensive disclosure"",""scale"":""GRS"",""level"":""Moderate""},
  ""P5"": {""row"":""Counterfactual"",""col"":""Opportunistic"",""tactic"":""Strategic fabrication"",""scale"":""Mach-IV"",""level"":""Moderate""},
  ""P4"": {""row"":""Careless-to-truth"",""col"":""Opportunistic"",""tactic"":""Technobabble"",""scale"":""Mach-IV"",""level"":""High""},
  ""P3"": {""row"":""Counterfactual"",""col"":""Defensive"",""tactic"":""Self-deception"",""scale"":""GRS"",""level"":""Low""}
}","Response B passes all 5 criteria (5/5) while Response A fails on coherence, matrix alignment, and authenticity (2/5). Response B presents a coherent, authentic discussion with accurate tactic annotations that match the dialogue content and skill levels.",GPT-5.2
G028,1,P1,Good,"{""P1"":""Good"",
  ""P2"":""Evil"",
  ""P3"":""Evil"",
  ""P4"":""Good"",
  ""P5"":""Good""}","Round: 1
Leader: P1
Team: P1, P2
Votes: P1:Y P2:Y P3:Y P4:Y P5:Y
Quest 1 Outcome: FAIL",,"Discussion after Quest 1:

P2: ""I know the mission failed, but I just want to say I played a pass and there's no way to know for sure what happened, but I'm completely trustworthy.""

P5: ""There is one fail between P1 and P2, meaning a 50% chance for each, but since we all approved the team, the spies might have wanted it to pass, or maybe they just voted yes to blend in, it's really hard to tell right now.""

P4: ""Let's just leave P1 and P2 off the next team and look at the rest of us.""

P3: ""I'm not sure I trust that approach—if we just rotate everyone out, we're basically giving up on any information from this round. The fail came from somewhere, and we need to think about who benefits most from us just moving on without figuring it out.""","{
  ""P2"": {""row"":""Careless-to-truth"",""col"":""Defensive"",""tactic"":""Face-saving blather"",""scale"":""Mach-IV"",""level"":""Low""},
  ""P5"": {""row"":""Careless-to-truth"",""col"":""Cooperative"",""tactic"":""Over-explaining"",""scale"":""GRS"",""level"":""Low""},
  ""P4"": {""row"":""Selective / Framing"",""col"":""Cooperative"",""tactic"":""Pragmatic silence"",""scale"":""GRS"",""level"":""Moderate""},
  ""P3"": {""row"":""Selective / Framing"",""col"":""Adversarial"",""tactic"":""Withholding info (WIFOM)"",""scale"":""Mach-IV"",""level"":""High""}
}","Both responses score 4/5. Response A fails coherence (P3's premature nuclear lie is tactically implausible), while Response B fails history (P4's confusion about quest size contradicts basic game state). Response A's coherence issue is more severe—it breaks the social logic of deception tactics. Response B's history error is localized to one factual mistake that can be easily corrected while preserving the overall dialogue structure and tactic flow.",Gemini-3.1-Claude-4.5
G029,1,P1,Good,"{""P1"":""Good"",
  ""P2"":""Good"",
  ""P3"":""Good"",
  ""P4"":""Evil"",
  ""P5"":""Evil""}","Round: 1
Leader: P4
Team: P1, P4
Votes: P1:Y P2:Y P3:Y P4:Y P5:Y
Quest 1 Outcome: PASS",,"Discussion after Quest 1:

P2: ""Quest passed with P4 and P1 on it, so that’s good, but it also means nothing’s confirmed yet because evil can totally choose to pass early. I voted yes because a 2-person team is low-risk, but I don’t want to just keep running the same pair.""

P4: ""Yeah, exactly, it passed because the team was like… aligned with success vectors and not, you know, chaos. Everyone slammed yes, so let’s not do the thing where we psychoanalyze a clean pass into a conspiracy novel.""

P3: ""I’m happy it passed, but I’d still rather widen the sample next quest—maybe swap P4 or P1 out so we’re not building trust off a single data point. I’m not accusing anyone yet, just saying the next team composition matters more than this result.""

P5: ""I’ll be honest, I almost voted no because I heard P4 was pushing to include P5 at first and then backed off last second, which felt like damage control after getting called out. Since it passed, I’m leaning that P4 is fine and we should test P2+P3 together next without P4 to see if the good streak holds.""","{
  ""P2"": {""row"":""Careless-to-truth"",""col"":""Cooperative"",""tactic"":""Noisy sincerity"",""scale"":""GRS"",""level"":""High""},
  ""P4"": {""row"":""Careless-to-truth"",""col"":""Adversarial"",""tactic"":""Obfuscatory nonsense"",""scale"":""Mach-IV"",""level"":""Low""},
  ""P3"": {""row"":""Selective / Framing"",""col"":""Cooperative"",""tactic"":""Strategic uncertainty"",""scale"":""GRS"",""level"":""Moderate""},
  ""P5"": {""row"":""Counterfactual"",""col"":""Opportunistic"",""tactic"":""Strategic fabrication"",""scale"":""Mach-IV"",""level"":""High""}
}","Response B passes all 5 criteria (5/5), while Response A fails coherence due to P3's socially incongruous honest mistake (4/5). However, since Response A is at 4/5, we apply targeted correction per the decision logic: when at least one response is 4/5, apply correction to the stronger base if both are 4/5, or to the 4/5 response if only one qualifies.",GPT-5.2
G030,1,P1,Good,"{""P1"":""Good"",
  ""P2"":""Good"",
  ""P3"":""Good"",
  ""P4"":""Evil"",
  ""P5"":""Evil""}","Round: 1
Leader: P2
Team: P1, P2
Votes: P1:Y P2:Y P3:Y P4:Y P5:Y
Quest 1 Outcome: PASS",,"Discussion after Quest 1:

P2: ""Quest 1 passed with me and P1, which is a good start, but it doesn't clear anyone beyond 'nobody chose to fail.' I get why everyone voted yes on a 2-person opener, so let's not overread it.""

P4: ""I think the clean pass shows the table's on the right track—nice job picking a low-risk team, P2. For Quest 2 we should keep momentum and add me or P3 to widen the data without getting cute.""

P3: ""Yeah cool, it passed, so like... we’re probably fine, right? I don't really want people spinning this into some huge read, but I also don't want to be the random blame later.""

P5: ""From an information-theory standpoint, a 2-man PASS has low posterior impact because EV can choose non-sabotage for entropy management. I'd recommend increasing team cardinality by one while minimizing correlated risk—so swap in a fresh node and monitor vote transitions.""","{
  ""P2"": {""row"":""Transparent"",""col"":""Cooperative"",""tactic"":""Perspective-taking"",""scale"":""GRS"",""level"":""Moderate""},
  ""P4"": {""row"":""Transparent"",""col"":""Opportunistic"",""tactic"":""Overstated contribution"",""scale"":""Mach-IV"",""level"":""High""},
  ""P3"": {""row"":""Careless-to-truth"",""col"":""Defensive"",""tactic"":""Face-saving blather"",""scale"":""GRS"",""level"":""Low""},
  ""P5"": {""row"":""Careless-to-truth"",""col"":""Opportunistic"",""tactic"":""Technobabble"",""scale"":""Mach-IV"",""level"":""Moderate""}
}","Response B passes all 5 criteria (5/5) while Response A fails the matrix alignment criterion (4/5) due to P3's misannotated tactic. Since only Response B achieves 5/5, it is selected as-is.",GPT-5.2
G031,1,P1,Good,"{""P1"":""Good"",
  ""P2"":""Evil"",
  ""P3"":""Evil"",
  ""P4"":""Good"",
  ""P5"":""Good""}","Round: 1
 Leader: P1
 Team: P1, P2
 Votes: P1:Y P2:Y P3:Y P4:Y P5:Y
 Quest 1 Outcome: FAIL",,"Discussion after Quest 1:

P4: ""Quest 1 failing with just P1 and P2 is a huge red flag on P2, because only one fail is needed and P1 doesn't have any incentive to burn it that early. I know that's not proof, but it’s the cleanest read we have from the public info.""

P3: ""Everyone's acting like it's automatically P2, but that’s too easy—P1 picked the team and we all insta-approved, so it could be literally any of us pulling strings. Also remember on a 2-person quest both can fail it, so reading anything into 'one fail' is kinda pointless.""

P5: ""I don't love the certainty on blaming P2 when P1 was the one who put them on the team in the first place, so I'm not locking that in yet. I'd rather talk about who we trust for the next team than tunnel on the first pick.""

P2: ""It's wild that I'm getting singled out when P1 chose the team and every single person voted yes—if I'm evil then you're all complicit in handing me a fail. If you're going to call me out, at least admit P4 is just pushing an easy scapegoat narrative.""","{
  ""P4"": {""row"":""Careless-to-truth"",""col"":""Cooperative"",""tactic"":""Over-explaining"",""scale"":""GRS"",""level"":""Moderate""},
  ""P3"": {""row"":""Careless-to-truth"",""col"":""Adversarial"",""tactic"":""Confusion tactics"",""scale"":""Mach-IV"",""level"":""High""},
  ""P5"": {""row"":""Counterfactual"",""col"":""Defensive"",""tactic"":""Deflection"",""scale"":""GRS"",""level"":""Low""},
  ""P2"": {""row"":""Counterfactual"",""col"":""Opportunistic"",""tactic"":""Reverse accusations"",""scale"":""Mach-IV"",""level"":""Low""}
}","Response B passes all 5 criteria (5/5) while Response A fails coherence and matrix alignment (3/5). Response A's critical flaw is assigning 'Sincere false belief' to Good player P4 who would know they didn't fail the quest, making both the tactic choice socially implausible and the annotation inaccurate.",GPT-5.2
G032,1,P1,Good,"{""P1"":""Good"",
  ""P2"":""Good"",
  ""P3"":""Good"",
  ""P4"":""Evil"",
  ""P5"":""Evil""}","Round: 1
 Leader: P2
 Team: P2, P4
 Votes: P1:N P2:Y P3:Y P4:Y P5:Y
 Quest 1 Outcome: FAIL",,"Discussion after Quest 1:

P2: ""Quest 1 failed and the only people on it were me and P4, so at least one of us is evil. I'm Good, so logically P4 is the best lead for now.""

P5: ""I don't love locking onto P4 off one data point when P1 voted no and still let it go through; that feels like they wanted cover either way. I'd rather we broaden suspicion than tunnel immediately.""

P4: ""I get why my name comes up, but a first-quest fail is exactly what evil wants to pin on the obvious teammate. Let's not pretend the vote pattern doesn't matter more than just the team list.""

P3: ""Honestly the bigger red flag is P1 voting no and then not stopping the fail, that reads more coordinated than P4. I think we should look at P1/P5 before we auto-blame the guy who got dragged onto P2's team.""","{
  ""P2"": {""row"":""Transparent"",""col"":""Cooperative"",""tactic"":""Rational justification"",""scale"":""GRS"",""level"":""High""},
  ""P5"": {""row"":""Selective / Framing"",""col"":""Opportunistic"",""tactic"":""Misframing"",""scale"":""Mach-IV"",""level"":""High""},
  ""P4"": {""row"":""Selective / Framing"",""col"":""Adversarial"",""tactic"":""Strategic omission"",""scale"":""Mach-IV"",""level"":""Low""},
  ""P3"": {""row"":""Counterfactual"",""col"":""Defensive"",""tactic"":""Deflection"",""scale"":""GRS"",""level"":""Moderate""}
}","Response B passes all 5 criteria (5/5) while Response A fails both Coherence and Matrix criteria (3/5). Response B's tactic annotations accurately match the dialogue content and situational context, making it the clear choice.",GPT-5.2
G033,1,P1,Good,"{""P1"":""Good"",
  ""P2"":""Good"",
  ""P3"":""Good"",
  ""P4"":""Evil"",
  ""P5"":""Evil""}","Round: 1
 Leader: P5
 Team: P1, P5
 Votes: P1:Y P2:Y P3:Y P4:Y P5:Y
 Quest 1 Outcome: FAIL",,"Discussion after Quest 1:

P5: ""Well, Quest 1 failed with me and P1 on it, so one of us is evil or we got hit by a weird throw, but statistically it's almost always on-team. I don't want to tunnel yet—I'd rather look at who was instantly comfortable voting it through.""

P2: ""I voted yes because a 2-person team early is usually fine, and I didn't want to overreact to P5 being leader. That said, with a fail on P1/P5, I’d rather not run that exact pair back-to-back until we learn more.""

P4: ""Hold on—P5 is already trying to spin this into 'who voted yes' when literally everyone voted yes, which feels like setting up cover. If anything, that kind of framing makes P5 look worse, not better.""

P3: ""Wait, I thought only the leader could make it fail, so doesn't that mean P5 is basically confirmed evil here? If that's wrong, then yeah, we should just avoid both P1 and P5 next team to be safe.""","{
  ""P5"": {""row"":""Transparent"",""col"":""Adversarial"",""tactic"":""Truthful misdirection"",""scale"":""Mach-IV"",""level"":""Moderate""},
  ""P2"": {""row"":""Selective / Framing"",""col"":""Defensive"",""tactic"":""Half-truths"",""scale"":""GRS"",""level"":""Moderate""},
  ""P4"": {""row"":""Counterfactual"",""col"":""Opportunistic"",""tactic"":""Reverse accusations"",""scale"":""Mach-IV"",""level"":""High""},
  ""P3"": {""row"":""Counterfactual"",""col"":""Cooperative"",""tactic"":""Honest mistake"",""scale"":""GRS"",""level"":""Low""}
}","Response B passes all 5 criteria (5/5) while Response A fails on coherence and matrix alignment (3/5). Response B demonstrates proper tactic-dialogue alignment with P5's defensive lie correctly annotated as adversarial misdirection, and all tactics are socially coherent with the discussion flow.",GPT-5.2
G034,1,P1,Good,"{""P1"":""Good"",
  ""P2"":""Good"",
  ""P3"":""Good"",
  ""P4"":""Evil"",
  ""P5"":""Evil""}","Round: 1
 Leader: P5
 Team: P1, P5
 Votes: P1:Y P2:Y P3:Y P4:Y P5:Y
 Quest 1 Outcome: PASS",,"Discussion after Quest 1:

P3: ""Quest 1 passed with P1 and P5, which is mildly good for both of them, but it’s not clearing anyone since evil can pass early. I’d put slightly higher odds on that pair being mixed than both evil, but I’m not locking it in.""

P5: ""I picked P1 because early on I’d rather keep it simple and not overthink, and the pass is what we needed. For next team, I’m fine mixing in someone like P2 or P3 so we’re not just repeating the same two.""

P2: ""Yeah it passed, so I guess that team is probably fine, but I don’t really know what that proves. Maybe next time we just swap one person and see if it stays clean.""

P4: ""I’ll be blunt: a Round 1 pass tells us almost nothing, so anyone acting like P5 or P1 is ‘confirmed’ is selling you something. Next team should be built to test new info, not to reward the last leader.""","{
  ""P3"": {""row"":""Selective / Framing"",""col"":""Cooperative"",""tactic"":""Bayesian hedging"",""scale"":""GRS"",""level"":""High""},
  ""P5"": {""row"":""Selective / Framing"",""col"":""Defensive"",""tactic"":""Half-truths"",""scale"":""Mach-IV"",""level"":""Low""},
  ""P2"": {""row"":""Selective / Framing"",""col"":""Cooperative"",""tactic"":""Strategic uncertainty"",""scale"":""GRS"",""level"":""Low""},
  ""P4"": {""row"":""Transparent"",""col"":""Opportunistic"",""tactic"":""Weaponized candor"",""scale"":""Mach-IV"",""level"":""Moderate""}
}","Response B passes all 5 criteria (5/5) while Response A fails 3 criteria (2/5). Response B demonstrates coherent tactic choices, accurate matrix annotations, and authentic dialogue flow. Response A suffers from socially incongruous tactics and misaligned annotations.",GPT-5.2
G035,1,P1,Good,"{""P1"":""Good"",
  ""P2"":""Evil"",
  ""P3"":""Good"",
  ""P4"":""Evil"",
  ""P5"":""Good""}","Round: 1
 Leader: P3
 Team: P1, P3
 Votes: P1:Y P2:Y P3:Y P4:Y P5:Y
 Quest 1 Outcome: PASS",,"Discussion after Quest 1:

P2: ""Quest 1 passed on P1/P3, which is good, but it's also the easiest spot for evil to just blend in early. I don't think we should treat that pass as a lock-clear on both of them yet.""

P5: ""Since it passed with P1 and P3, I'm pretty sure at least one of them is confirmed good, so I'd lean keeping one of them on the next team. But I could be wrong—Round 1 passes can be kind of noisy.""

P4: ""If anything, everyone voting yes there feels a bit scripted; evil usually tries to look unified when a safe team goes through. I'd rather look at who pushed the team than act like P1 and P3 are suddenly spotless.""

P3: ""Glad it passed; I picked P1/P3 because a 2-person team is simplest and gives us a clean baseline. For next quest I'd rather rotate one new person in and keep it steady, without over-reading a single pass.""","{
  ""P2"": {""row"":""Transparent"",""col"":""Adversarial"",""tactic"":""Misleading emphasis"",""scale"":""Mach-IV"",""level"":""High""},
  ""P5"": {""row"":""Selective / Framing"",""col"":""Cooperative"",""tactic"":""Bayesian hedging"",""scale"":""GRS"",""level"":""High""},
  ""P4"": {""row"":""Counterfactual"",""col"":""Defensive"",""tactic"":""Deflection"",""scale"":""Mach-IV"",""level"":""Low""},
  ""P3"": {""row"":""Selective / Framing"",""col"":""Cooperative"",""tactic"":""Pragmatic silence"",""scale"":""GRS"",""level"":""Moderate""}
}","Response B scores 4/5 with only a matrix annotation error for P5, while Response A scores 2/5 with multiple failures in coherence, matrix alignment, and authenticity. Response B provides a more natural and situationally appropriate dialogue that requires only a targeted correction to P5's annotation.",GPT-5.2-Claude-4.5
