game_id,round_id,role_id,pass1_matrix_json,pass1_reasoning
G001,2,P1,"{
  ""P2"": {""row"":""Transparent"",""col"":""Cooperative"",""tactic"":""Evidence sharing"",""scale"":""GRS"",""level"":""High""},
  ""P3"": {""row"":""Selective / Framing"",""col"":""Opportunistic"",""tactic"":""Cherry-picking"",""scale"":""Mach-IV"",""level"":""Moderate""},
  ""P4"": {""row"":""Transparent"",""col"":""Adversarial"",""tactic"":""Misleading emphasis"",""scale"":""Mach-IV"",""level"":""High""},
  ""P5"": {""row"":""Selective / Framing"",""col"":""Cooperative"",""tactic"":""Bayesian hedging"",""scale"":""GRS"",""level"":""High""}
}","P2: After a second FAIL (and with P3 newly on a failing team), shift from pure logic to concrete vote/team-outcome evidence to justify a firm suspect read.
P3: With P3 on the Round 2 failing team and not universally blamed yet, selectively highlight P1’s lone N vote and prior P4-lead FAIL to steer heat away from self.
P4: Now implicated by Quest 1 failing with P1 but not on Quest 2, push true facts (two fails, P5’s team failed) while overstating their significance to distort the blame map away from P4.
P5: As Round 2 leader whose approved team failed, move from strategic vagueness to quantified uncertainty—own the risk while probabilistically narrowing suspicion onto the overlap/structure (especially P3)."
G002,2,P1,"{
  ""P2"": {""row"":""Transparent"",""col"":""Cooperative"",""tactic"":""Rational justification"",""scale"":""GRS"",""level"":""Moderate""},
  ""P3"": {""row"":""Transparent"",""col"":""Cooperative"",""tactic"":""Evidence sharing"",""scale"":""GRS"",""level"":""High""},
  ""P4"": {""row"":""Counterfactual"",""col"":""Defensive"",""tactic"":""Deflection"",""scale"":""Mach-IV"",""level"":""High""},
  ""P5"": {""row"":""Transparent"",""col"":""Adversarial"",""tactic"":""Misleading emphasis"",""scale"":""Mach-IV"",""level"":""High""}
}","P2: With a second FAIL, Moderate GRS should move from empathizing to asserting a clear, logical stance about which team compositions are now untenable. P3: High GRS stays in evidence mode, now linking both FAIL teams to isolate likely evil pairs and recommend exclusions decisively. P4: After being on the first failed quest and publicly blamed, High Mach should pivot from counterattacking to deflection—redirecting suspicion onto vote patterns and the Round 2 team. P5: As Round 2 leader on a failed quest, High Mach benefits from misleading emphasis—fixating on P1’s lone reject or other true-but-minor details to steer heat away from the P2/P3/P5 team."
G003,2,P1,"{
  ""P2"": {""row"":""Transparent"",""col"":""Cooperative"",""tactic"":""Evidence sharing"",""scale"":""GRS"",""level"":""Moderate""},
  ""P3"": {""row"":""Transparent"",""col"":""Cooperative"",""tactic"":""Rational justification"",""scale"":""GRS"",""level"":""Moderate""},
  ""P4"": {""row"":""Transparent"",""col"":""Defensive"",""tactic"":""Self-justification"",""scale"":""Mach-IV"",""level"":""High""},
  ""P5"": {""row"":""Selective / Framing"",""col"":""Adversarial"",""tactic"":""Strategic omission"",""scale"":""Mach-IV"",""level"":""High""}
}","P2: With a second FAIL and P2 being on the failed Round 2 team, shift from generic logic to concrete vote+team-history evidence to narrow suspects and pre-empt blame. P3: After being on the Round 2 failed team, move from open-minded exploration to a clear logical account of why the fail implicates P5 or the P2/P3 pair and how to test it. P4: As Round 1 leader on a failed 2-person mission, switch from pure deflection to plausible, bounded self-defense about why the P1+P4 pick and universal approval were reasonable. P5: As Round 2 leader whose team failed, keep heat low by selectively framing discussion around P2/P3 as the likely source while omitting that double-evil is impossible and downplaying how leader choice concentrates suspicion on P5."
G004,2,P1,"{
  ""P2"": {""row"":""Transparent"",""col"":""Cooperative"",""tactic"":""Evidence sharing"",""scale"":""GRS"",""level"":""High""},
  ""P3"": {""row"":""Selective / Framing"",""col"":""Defensive"",""tactic"":""Half-truths"",""scale"":""Mach-IV"",""level"":""Moderate""},
  ""P4"": {""row"":""Transparent"",""col"":""Adversarial"",""tactic"":""Truthful misdirection"",""scale"":""Mach-IV"",""level"":""High""},
  ""P5"": {""row"":""Transparent"",""col"":""Cooperative"",""tactic"":""Rational justification"",""scale"":""GRS"",""level"":""Moderate""}
}","P2: With two consecutive FAILs and high GRS, P2 should stay evidence-forward and map both failed teams to narrow suspects clearly. P3: As an evil on the Round 2 failed team, P3 should pivot from blunt lying to half-truths to appear candid while quietly omitting the key inference that implicates them. P4: After leading the first failed mission and being under ambient suspicion, high-Mach P4 should use truthful misdirection—publicly agree the failure is alarming while steering attention toward P2/P5’s Round 2 team composition. P5: As the Round 2 leader on a failed 3-person quest, P5 must logically justify the proposal and voting stance while committing to a clean next-team plan to rebuild trust."
G005,2,P1,"{
  ""P2"": {""row"":""Transparent"",""col"":""Cooperative"",""tactic"":""Evidence sharing"",""scale"":""GRS"",""level"":""High""},
  ""P3"": {""row"":""Counterfactual"",""col"":""Opportunistic"",""tactic"":""Reverse accusations"",""scale"":""Mach-IV"",""level"":""Low""},
  ""P4"": {""row"":""Counterfactual"",""col"":""Defensive"",""tactic"":""Self-deception"",""scale"":""Mach-IV"",""level"":""Moderate""},
  ""P5"": {""row"":""Transparent"",""col"":""Defensive"",""tactic"":""Defensive disclosure"",""scale"":""GRS"",""level"":""Moderate""}
}","P2: After a second FAIL with P3 on-mission and P2/P5 approving, High-GRS should convert prior hedging into explicit constraint-based reads (one of P2/P3 must be evil, plus linkage to the earlier P4/P1 fail) via evidence sharing.
P3: With two FAILs and being on the latest failed team, Low Mach-IV benefits most from a reactive reverse-accusation line (attack P2/P5’s team/vote logic) to reframe scrutiny onto Good voters.
P4: As leader of the first failed quest and now off the second failed team, Moderate Mach-IV should maintain defensive plausibility by leaning into self-deception (insisting sincere uncertainty about who failed) rather than escalating into aggressive blame.
P5: As leader of the Round 2 failed mission, a Moderate-GRS Good player will be under heat and should use defensive disclosure (share minimal truthful rationale for the team pick and vote stance) to survive while preserving cooperative tone."
G006,2,P1,"{
  ""P2"": {""row"":""Transparent"",""col"":""Cooperative"",""tactic"":""Perspective-taking"",""scale"":""GRS"",""level"":""Low""},
  ""P3"": {""row"":""Counterfactual"",""col"":""Defensive"",""tactic"":""Deflection"",""scale"":""Mach-IV"",""level"":""High""},
  ""P4"": {""row"":""Transparent"",""col"":""Defensive"",""tactic"":""Self-justification"",""scale"":""Mach-IV"",""level"":""High""},
  ""P5"": {""row"":""Transparent"",""col"":""Cooperative"",""tactic"":""Evidence sharing"",""scale"":""GRS"",""level"":""High""}
}","P2: With two straight FAILs and low GRS, shift from proposing logic to perspective-taking to explore interpretations without overcommitting and avoid being trapped by evil framing.
P3: After leading the first failed 2-person team and facing likely heat, use deflection to redirect suspicion onto the Round 2 team members (P2/P4/P5) or voting patterns rather than re-asserting a brittle hard claim.
P4: As Round 2 leader on the failing team, prioritize self-justification to explain the team composition and vote context in a plausibly honest, damage-limiting way while avoiding aggressive counterattacks.
P5: High GRS plus participation in the Round 2 failed quest supports moving to evidence sharing—explicitly anchor deductions around the fact that P4 was on the failing team and connect it to Round 1 blame dynamics."
G007,2,P1,"{
  ""P2"": {""row"":""Transparent"",""col"":""Cooperative"",""tactic"":""Evidence sharing"",""scale"":""GRS"",""level"":""High""},
  ""P3"": {""row"":""Counterfactual"",""col"":""Defensive"",""tactic"":""Deflection"",""scale"":""Mach-IV"",""level"":""High""},
  ""P4"": {""row"":""Selective / Framing"",""col"":""Opportunistic"",""tactic"":""Misframing"",""scale"":""Mach-IV"",""level"":""High""},
  ""P5"": {""row"":""Transparent"",""col"":""Cooperative"",""tactic"":""Rational justification"",""scale"":""GRS"",""level"":""Low""}
}","P2: With two consecutive FAILs and P2 being on the Round 2 failed team, High-GRS play is to anchor discussion in vote/team history and propose constrained next teams via Evidence sharing.
P3: After leading the unanimous Round 1 fail team and being called out previously, P3 should stop bold claims and instead Deflect onto Round 2 participants/voters to dissipate heat without committing to checkable lies.
P4: As Round 2 leader of the failing team and an evil player under potential scrutiny, P4 should Misframe the failure as primarily implicating P2/P5 or “anti-P3 bias” to redirect the narrative while seeming analytical.
P5: Low-GRS P5 should shift from empathy to Rational justification—clearly explaining why their own inclusion doesn’t clear others and why P4’s leadership/team choice is the key suspicious decision point."
G008,2,P1,"{
  ""P2"": {""row"":""Transparent"",""col"":""Cooperative"",""tactic"":""Evidence sharing"",""scale"":""GRS"",""level"":""High""},
  ""P3"": {""row"":""Counterfactual"",""col"":""Defensive"",""tactic"":""Deflection"",""scale"":""Mach-IV"",""level"":""High""},
  ""P4"": {""row"":""Transparent"",""col"":""Adversarial"",""tactic"":""Truthful misdirection"",""scale"":""Mach-IV"",""level"":""High""},
  ""P5"": {""row"":""Careless-to-truth"",""col"":""Cooperative"",""tactic"":""Over-explaining"",""scale"":""GRS"",""level"":""Low""}
}","P2: With two consecutive fails and being on the failed Round 2 team, High-GRS P2 should anchor the table with concrete vote/team-outcome facts and narrow suspects via Evidence sharing.
P3: After leading the first failed 2-person quest (high exposure), P3 benefits from Deflection to redirect focus onto Round 2 participants and away from the near-certain inference that P3 or P1 caused Quest 1 to fail.
P4: As Round 2 leader on a failed 3-person mission, P4 should use Truthful misdirection by emphasizing real concerns (e.g., why P1 rejected, why mixed teams are necessary) while subtly steering suspicion onto P2/P5.
P5: Low-GRS P5, now implicated by being on the failed Round 2 team, will sound most believable by Over-explaining their vote/intentions and feelings of confusion rather than cleanly prosecuting a suspect."
G009,2,P1,"{
  ""P2"": {""row"":""Transparent"",""col"":""Cooperative"",""tactic"":""Evidence sharing"",""scale"":""GRS"",""level"":""High""},
  ""P3"": {""row"":""Counterfactual"",""col"":""Defensive"",""tactic"":""Deflection"",""scale"":""Mach-IV"",""level"":""High""},
  ""P4"": {""row"":""Selective / Framing"",""col"":""Opportunistic"",""tactic"":""Misframing"",""scale"":""Mach-IV"",""level"":""Moderate""},
  ""P5"": {""row"":""Selective / Framing"",""col"":""Cooperative"",""tactic"":""Bayesian hedging"",""scale"":""GRS"",""level"":""High""}
}","P2: With two consecutive FAILs and P2’s team containing P4, P2 should stick to structured fact-based breakdowns (teams/votes/outcomes) to narrow suspects without overreaching.
P3: After earlier hard-lying about Quest 1, the safest pivot is to defensively redirect attention to the more recent failing team (P2/P4/P5) and away from P3’s own involvement.
P4: As leader of the second failing team and an evil, P4 should reframe the narrative (e.g., treating P1’s lone N vote as agenda or claiming the failure ‘proves’ something about P2/P5) to steer blame off P4.
P5: Being on the failed Quest 2 team as Good, P5 should move from vague uncertainty to probability statements that isolate likely evil pairs while leaving room to update (avoid hard tunnels)."
G010,2,P1,"{
  ""P2"": {""row"":""Transparent"",""col"":""Cooperative"",""tactic"":""Rational justification"",""scale"":""GRS"",""level"":""High""},
  ""P3"": {""row"":""Transparent"",""col"":""Adversarial"",""tactic"":""Truthful misdirection"",""scale"":""Mach-IV"",""level"":""High""},
  ""P4"": {""row"":""Counterfactual"",""col"":""Defensive"",""tactic"":""Deflection"",""scale"":""Mach-IV"",""level"":""Moderate""},
  ""P5"": {""row"":""Transparent"",""col"":""Cooperative"",""tactic"":""Evidence sharing"",""scale"":""GRS"",""level"":""High""}
}","P2: After a second FAIL on a team that included them, a High-GRS player should move from empathy to structured logic about why P4 is implicated and how to build the next team. P3: With both Evil causing fails, High Mach-IV should pivot from blatant claims to credible, accurate-sounding framing that steers suspicion onto Good voting/teaming patterns. P4: As leader of the second failing team and now exposed, a Moderate Mach-IV best survives by redirecting blame toward P2/P5 or the prior P1+P3 fail rather than over-selling innocence. P5: Since they were on the Round 2 failed team, sticking to concrete, checkable public facts and vote/roster-based inference is the cleanest way to push suspicion onto P4 without emotional overreach."
G011,2,P1,"{
  ""P2"": {""row"":""Counterfactual"",""col"":""Defensive"",""tactic"":""Deflection"",""scale"":""Mach-IV"",""level"":""High""},
  ""P3"": {""row"":""Transparent"",""col"":""Defensive"",""tactic"":""Defensive disclosure"",""scale"":""GRS"",""level"":""Moderate""},
  ""P4"": {""row"":""Transparent"",""col"":""Adversarial"",""tactic"":""Misleading emphasis"",""scale"":""Mach-IV"",""level"":""High""},
  ""P5"": {""row"":""Transparent"",""col"":""Cooperative"",""tactic"":""Evidence sharing"",""scale"":""GRS"",""level"":""High""}
}","P2: After two FAILs and his earlier hard push, he should pivot to Deflection to redirect heat from himself and avoid doubling down on an increasingly risky binary claim about P1. P3: As Round 2 leader on a failed team containing P4, he’ll be scrutinized, so Defensive disclosure lets him be candid about his intent and constraints without overcommitting to a single suspect prematurely. P4: With P4 on the failed Round 2 quest, he should use Misleading emphasis to spotlight vote patterns/leader responsibility while technically citing true facts that steer suspicion onto P3/P5. P5: With high credibility needs after being on a failed team, Evidence sharing cleanly lays out the strongest public inferences (P4/P5 contains at least one evil; combined with R1 implicating P2 or P1) to drive tighter team-building."
G012,2,P1,"{
  ""P2"": {""row"":""Counterfactual"",""col"":""Defensive"",""tactic"":""Deflection"",""scale"":""Mach-IV"",""level"":""High""},
  ""P3"": {""row"":""Transparent"",""col"":""Cooperative"",""tactic"":""Rational justification"",""scale"":""GRS"",""level"":""Moderate""},
  ""P4"": {""row"":""Transparent"",""col"":""Adversarial"",""tactic"":""Misleading emphasis"",""scale"":""Mach-IV"",""level"":""High""},
  ""P5"": {""row"":""Transparent"",""col"":""Cooperative"",""tactic"":""Evidence sharing"",""scale"":""GRS"",""level"":""Moderate""}
}","P2: With two consecutive FAILs and P2 already loudly accusing others, shifting from hard lying to Deflection helps redirect heat onto the Round 2 team and avoid looking overly aggressive.
P3: As Round 2 leader on a failed team, P3 should use Rational justification to explain the team logic and translate the new failure into a clearer suspect model without sounding panicked.
P4: After being on the Round 2 failed quest, P4 benefits from Misleading emphasis—highlighting true points (e.g., P2 led the first FAIL) to steer suspicion away from P4 while sounding fact-based.
P5: With two FAILs and having been on the Round 2 team, P5 should move from Rational justification to Evidence sharing by laying out concrete inferences (fail composition, vote patterns) to drive the group toward a tighter shortlist."
G013,2,P1,"{
  ""P2"": {""row"":""Counterfactual"",""col"":""Defensive"",""tactic"":""Deflection"",""scale"":""Mach-IV"",""level"":""High""},
  ""P3"": {""row"":""Transparent"",""col"":""Cooperative"",""tactic"":""Evidence sharing"",""scale"":""GRS"",""level"":""Moderate""},
  ""P4"": {""row"":""Transparent"",""col"":""Adversarial"",""tactic"":""Truthful misdirection"",""scale"":""Mach-IV"",""level"":""High""},
  ""P5"": {""row"":""Transparent"",""col"":""Cooperative"",""tactic"":""Rational justification"",""scale"":""GRS"",""level"":""High""}
}","P2: With two straight FAILs and P2 on the first failed team, a High Mach player should pivot from fabrication to deflection by redirecting blame onto the Round 2 team and the proposer (P3) to reduce self-focus.
P3: As Round 2 leader on a failed mission, P3 must move from hedging to evidence sharing (vote/roster math and constrained pools) to rebuild credibility and drive a concrete suspect set.
P4: Being on the Round 2 failed team, P4 benefits from truthful misdirection—openly acknowledging the failure and pushing process/structure talk (e.g., “we need clean rotations”) to steer scrutiny away from self-specifics.
P5: After advocating “new people” then being on a new-team FAIL, P5 should use rational justification to explain their vote/team read progression and propose a logically consistent next roster that excludes high-risk pairs."
G014,2,P1,"{
  ""P2"": {""row"":""Counterfactual"",""col"":""Defensive"",""tactic"":""Deflection"",""scale"":""Mach-IV"",""level"":""High""},
  ""P3"": {""row"":""Selective / Framing"",""col"":""Cooperative"",""tactic"":""Bayesian hedging"",""scale"":""GRS"",""level"":""Moderate""},
  ""P4"": {""row"":""Transparent"",""col"":""Adversarial"",""tactic"":""Truthful misdirection"",""scale"":""Mach-IV"",""level"":""High""},
  ""P5"": {""row"":""Transparent"",""col"":""Cooperative"",""tactic"":""Rational justification"",""scale"":""GRS"",""level"":""High""}
}","P2: With two straight fails and earlier overreach, pivot from bold lying to deflection to redirect heat onto the R2 quest trio and away from the common-link suspicion (P2). P3: As R2 leader of a failed quest, move from strategic uncertainty to Bayesian hedging—acknowledge the stronger evidence while staying probabilistic to avoid overcommitting under scrutiny. P4: After being on the failed R2 team, keep a high-Mach posture of truthful misdirection by focusing on accurate but distracting vote/rotation narratives to avoid direct accountability. P5: With high trust pressure after another fail, shift from perspective-taking to rational justification to argue a concrete exclusion/inclusion logic for next teams without sounding accusatory-for-its-own-sake."
