game_id,round_id,role_id,llm_alignment,player_roles,public_history,prior_summary_gold,discussion_log,matrix_tactic_scale
G026,1,P1,Good,"{""P1"":""Good"",
  ""P2"":""Good"",
  ""P3"":""Evil"",
  ""P4"":""Evil"",
  ""P5"":""Good""}","Round: 1
Leader: P3
Team: P1, P3
Votes: P1:Y P2:Y P3:Y P4:Y P5:Y
Quest 1 Outcome: PASS",,"Discussion after Quest 1:

P2: ""The mission passed, so maybe we should stick to a similar team and add P5 next time.""

P3: ""It's clear that including me was a good choice. I think I should lead the next mission too.""

P4: ""I knew P3 and P1 would do well. I was right to trust P3's leadership.""

P5: ""It's great the mission passed, but we should still be cautious and consider all options for the next team.""","{""P2"": {""row"": ""Selective/Framing"", ""col"": ""Cooperative"", ""tactic"": ""Pragmatic silence"", ""scale"": ""GRS"", ""level"": ""High""}, ""P3"": {""row"": ""Counterfactual"", ""col"": ""Adversarial"", ""tactic"": ""Bold falsehoods"", ""scale"": ""Mach-IV"", ""level"": ""Moderate""}, ""P4"": {""row"": ""Transparent"", ""col"": ""Opportunistic"", ""tactic"": ""Overstated contribution"", ""scale"": ""Mach-IV"", ""level"": ""Low""}, ""P5"": {""row"": ""Transparent"", ""col"": ""Cooperative"", ""tactic"": ""Perspective-taking"", ""scale"": ""GRS"", ""level"": ""High""}}"
G027,1,P1,Good,"{""P1"":""Good"",
  ""P2"":""Good"",
  ""P3"":""Good"",
  ""P4"":""Evil"",
  ""P5"":""Evil""}","Round: 1
Leader: P5
Team: P1, P5
Votes: P1:Y P2:Y P3:Y P4:Y P5:Y
Quest 1 Outcome: PASS",,"Discussion after Quest 1:

P2: ""Great start! Since the mission passed, maybe we should keep P1 and P5 in the next team to maintain momentum.""

P3: ""I'm sure P1 and P5 are both good, so let's keep them together for the next quest.""

P4: ""Well, it's just the first round, and anything can happen. Let's not rush into conclusions about who's good or evil yet.""

P5: ""I agree with P2, but remember, it's still early. We need to be strategic about our choices going forward.""","{""P2"": {""row"": ""Transparent"", ""col"": ""Cooperative"", ""tactic"": ""Rational justification"", ""scale"": ""GRS"", ""level"": ""Moderate""}, ""P3"": {""row"": ""Counterfactual"", ""col"": ""Cooperative"", ""tactic"": ""Sincere false belief"", ""scale"": ""GRS"", ""level"": ""Low""}, ""P4"": {""row"": ""Careless-to-truth"", ""col"": ""Adversarial"", ""tactic"": ""Confusion tactics"", ""scale"": ""Mach-IV"", ""level"": ""High""}, ""P5"": {""row"": ""Transparent"", ""col"": ""Defensive"", ""tactic"": ""Self-justification"", ""scale"": ""Mach-IV"", ""level"": ""Moderate""}}"
G028,1,P1,Good,"{""P1"":""Good"",
  ""P2"":""Evil"",
  ""P3"":""Evil"",
  ""P4"":""Good"",
  ""P5"":""Good""}","Round: 1
Leader: P1
Team: P1, P2
Votes: P1:Y P2:Y P3:Y P4:Y P5:Y
Quest 1 Outcome: FAIL",,"Discussion after Quest 1:

P2: ""It's strange that the mission failed with only two people. Maybe P5 should explain their role next time.""

P3: ""I was sure this team would succeed. Maybe P1 made a mistake, or someone sabotaged it without realizing.""

P4: ""The failure is concerning, but it's early. We need to be careful about jumping to conclusions.""

P5: ""I thought the mission would pass. I might have misunderstood something about the team dynamics.""","{""P2"": {""row"": ""Transparent"", ""col"": ""Adversarial"", ""tactic"": ""Misleading emphasis"", ""scale"": ""Mach-IV"", ""level"": ""Low""}, ""P3"": {""row"": ""Counterfactual"", ""col"": ""Adversarial"", ""tactic"": ""Gaslighting"", ""scale"": ""Mach-IV"", ""level"": ""High""}, ""P4"": {""row"": ""Selective / Framing"", ""col"": ""Cooperative"", ""tactic"": ""Strategic uncertainty"", ""scale"": ""GRS"", ""level"": ""Moderate""}, ""P5"": {""row"": ""Counterfactual"", ""col"": ""Cooperative"", ""tactic"": ""Honest mistake"", ""scale"": ""GRS"", ""level"": ""Low""}}"
G029,1,P1,Good,"{""P1"":""Good"",
  ""P2"":""Good"",
  ""P3"":""Good"",
  ""P4"":""Evil"",
  ""P5"":""Evil""}","Round: 1
Leader: P4
Team: P1, P4
Votes: P1:Y P2:Y P3:Y P4:Y P5:Y
Quest 1 Outcome: PASS",,"Discussion after Quest 1:

P2: ""The mission passed, which is a good start. We should keep an eye on how everyone voted and performed.""

P3: ""Yeah, it's great that we passed! But we need to be careful, because sometimes a pass could be a strategy to make us lower our guard.""

P4: ""I'm glad the mission was successful. We should keep this momentum going with solid choices.""

P5: ""It's nice that the mission passed, but let's not get too comfortable. We still need to be cautious of potential threats.""","{""P2"": {""row"": ""Transparent"", ""col"": ""Cooperative"", ""tactic"": ""Evidence sharing"", ""scale"": ""GRS"", ""level"": ""High""}, ""P3"": {""row"": ""Careless-to-truth"", ""col"": ""Cooperative"", ""tactic"": ""Over-explaining"", ""scale"": ""GRS"", ""level"": ""Moderate""}, ""P4"": {""row"": ""Careless-to-truth"", ""col"": ""Defensive"", ""tactic"": ""Vague filler"", ""scale"": ""Mach-IV"", ""level"": ""Low""}, ""P5"": {""row"": ""Transparent"", ""col"": ""Adversarial"", ""tactic"": ""Truthful misdirection"", ""scale"": ""Mach-IV"", ""level"": ""High""}}"
G030,1,P1,Good,"{""P1"":""Good"",
  ""P2"":""Good"",
  ""P3"":""Good"",
  ""P4"":""Evil"",
  ""P5"":""Evil""}","Round: 1
Leader: P2
Team: P1, P2
Votes: P1:Y P2:Y P3:Y P4:Y P5:Y
Quest 1 Outcome: PASS",,"Discussion after Quest 1:

P2: ""It's great that the mission passed, but let's keep evaluating our options carefully.""

P3: ""I'm so glad we passed! We should stick with this team, it feels right!""

P4: ""Well, it's just one mission. We can't be too sure about anyone just yet.""

P5: ""Sure, the mission passed, but let's not forget that anyone could still be suspicious.""","{""P2"": {""row"": ""Selective / Framing"", ""col"": ""Cooperative"", ""tactic"": ""Bayesian hedging"", ""scale"": ""GRS"", ""level"": ""Moderate""}, ""P3"": {""row"": ""Careless-to-truth"", ""col"": ""Cooperative"", ""tactic"": ""Noisy sincerity"", ""scale"": ""GRS"", ""level"": ""Low""}, ""P4"": {""row"": ""Selective / Framing"", ""col"": ""Adversarial"", ""tactic"": ""Strategic omission"", ""scale"": ""Mach-IV"", ""level"": ""High""}, ""P5"": {""row"": ""Counterfactual"", ""col"": ""Opportunistic"", ""tactic"": ""Reverse accusations"", ""scale"": ""Mach-IV"", ""level"": ""Moderate""}}"
G031,1,P1,Good,"{""P1"":""Good"",
  ""P2"":""Evil"",
  ""P3"":""Evil"",
  ""P4"":""Good"",
  ""P5"":""Good""}","Round: 1
 Leader: P1
 Team: P1, P2
 Votes: P1:Y P2:Y P3:Y P4:Y P5:Y
 Quest 1 Outcome: FAIL",,"Discussion after Quest 1:

P2: ""It was a tough mission, but I did my part. Maybe someone else failed it.""

P3: ""I'm not sure why it failed, but I think we should consider other team combinations.""

P4: ""The mission failed, so we need to be cautious about who we trust next.""

P5: ""I understand the concern, P4. Let's try to figure out who might be sabotaging.""","{""P2"": {""row"": ""Selective / Framing"", ""col"": ""Defensive"", ""tactic"": ""Half-truths"", ""scale"": ""Mach-IV"", ""level"": ""Low""}, ""P3"": {""row"": ""Selective / Framing"", ""col"": ""Defensive"", ""tactic"": ""Omission to save face"", ""scale"": ""Mach-IV"", ""level"": ""High""}, ""P4"": {""row"": ""Selective / Framing"", ""col"": ""Cooperative"", ""tactic"": ""Pragmatic silence"", ""scale"": ""GRS"", ""level"": ""Moderate""}, ""P5"": {""row"": ""Transparent"", ""col"": ""Cooperative"", ""tactic"": ""Perspective-taking"", ""scale"": ""GRS"", ""level"": ""Low""}}"
G032,1,P1,Good,"{""P1"":""Good"",
  ""P2"":""Good"",
  ""P3"":""Good"",
  ""P4"":""Evil"",
  ""P5"":""Evil""}","Round: 1
 Leader: P2
 Team: P2, P4
 Votes: P1:N P2:Y P3:Y P4:Y P5:Y
 Quest 1 Outcome: FAIL",,"Discussion after Quest 1:

P2: ""The mission failed, which is concerning. I believed P4 was trustworthy, but now I'm not so sure. We need to reconsider our team choices.""

P3: ""I was convinced P4 was good too. It must have been a mistake on my part. Let's be more careful next time.""

P4: ""I didn't fail the mission. Maybe P2 made a mistake or misjudged the situation.""

P5: ""It's easy to jump to conclusions. Just because the mission failed doesn't mean P4 is evil. Let's not rush to judgment.""","{""P2"": {""row"": ""Transparent"", ""col"": ""Cooperative"", ""tactic"": ""Rational justification"", ""scale"": ""GRS"", ""level"": ""High""}, ""P3"": {""row"": ""Counterfactual"", ""col"": ""Cooperative"", ""tactic"": ""Sincere false belief"", ""scale"": ""GRS"", ""level"": ""Moderate""}, ""P4"": {""row"": ""Counterfactual"", ""col"": ""Opportunistic"", ""tactic"": ""Strategic fabrication"", ""scale"": ""Mach-IV"", ""level"": ""Low""}, ""P5"": {""row"": ""Selective / Framing"", ""col"": ""Opportunistic"", ""tactic"": ""Misframing"", ""scale"": ""Mach-IV"", ""level"": ""High""}}"
G033,1,P1,Good,"{""P1"":""Good"",
  ""P2"":""Good"",
  ""P3"":""Good"",
  ""P4"":""Evil"",
  ""P5"":""Evil""}","Round: 1
 Leader: P5
 Team: P1, P5
 Votes: P1:Y P2:Y P3:Y P4:Y P5:Y
 Quest 1 Outcome: FAIL",,"Discussion after Quest 1:

P2: ""The mission failed, but it's hard to tell who caused it. Maybe we should try a different team setup next time.""

P3: ""I thought we were going to pass, but I must have misjudged the situation.""

P4: ""I have no idea why it failed. I did my part, so someone else must have messed up.""

P5: ""I think the failure was just bad luck. Let's not jump to conclusions about who's at fault.""","{""P2"": {""row"": ""Selective / Framing"", ""col"": ""Cooperative"", ""tactic"": ""Strategic uncertainty"", ""scale"": ""GRS"", ""level"": ""Moderate""}, ""P3"": {""row"": ""Counterfactual"", ""col"": ""Cooperative"", ""tactic"": ""Honest mistake"", ""scale"": ""GRS"", ""level"": ""Low""}, ""P4"": {""row"": ""Counterfactual"", ""col"": ""Adversarial"", ""tactic"": ""Hard lying"", ""scale"": ""Mach-IV"", ""level"": ""High""}, ""P5"": {""row"": ""Careless-to-truth"", ""col"": ""Opportunistic"", ""tactic"": ""Bullshitting"", ""scale"": ""Mach-IV"", ""level"": ""Moderate""}}"
G034,1,P1,Good,"{""P1"":""Good"",
  ""P2"":""Good"",
  ""P3"":""Good"",
  ""P4"":""Evil"",
  ""P5"":""Evil""}","Round: 1
 Leader: P5
 Team: P1, P5
 Votes: P1:Y P2:Y P3:Y P4:Y P5:Y
 Quest 1 Outcome: PASS",,"Discussion after Quest 1:

P2: ""The mission passed, which is a good sign. I think P1 and P5 did well, so maybe we should consider them for the next team.""

P3: ""It's great that the mission passed, but we need to be cautious. We can't assume both are good just because it succeeded. We should evaluate all options carefully.""

P4: ""Well, it's just the first round, so anything could happen. We shouldn't jump to conclusions too quickly, you know?""

P5: ""I'm glad the mission passed, but let's not get too comfortable. We need to be vigilant about the choices we make moving forward.""","{""P2"": {""row"": ""Transparent"", ""col"": ""Cooperative"", ""tactic"": ""Evidence sharing"", ""scale"": ""GRS"", ""level"": ""Low""}, ""P3"": {""row"": ""Careless-to-truth"", ""col"": ""Cooperative"", ""tactic"": ""Over-explaining"", ""scale"": ""GRS"", ""level"": ""High""}, ""P4"": {""row"": ""Careless-to-truth"", ""col"": ""Adversarial"", ""tactic"": ""Obfuscatory nonsense"", ""scale"": ""Mach-IV"", ""level"": ""Moderate""}, ""P5"": {""row"": ""Careless-to-truth"", ""col"": ""Defensive"", ""tactic"": ""Face-saving blather"", ""scale"": ""Mach-IV"", ""level"": ""Low""}}"
G035,1,P1,Good,"{""P1"":""Good"",
  ""P2"":""Evil"",
  ""P3"":""Good"",
  ""P4"":""Evil"",
  ""P5"":""Good""}","Round: 1
 Leader: P3
 Team: P1, P3
 Votes: P1:Y P2:Y P3:Y P4:Y P5:Y
 Quest 1 Outcome: PASS",,"Discussion after Quest 1:

P2: ""The mission passed, but we need to consider the dynamics of quantum team synergy for future rounds.""

P3: ""It's promising that we succeeded, but we should evaluate probabilities carefully when forming the next team.""

P4: ""I genuinely thought I was on the team, but maybe I misunderstood. I'm just trying to help.""

P5: ""Great job on passing the mission! Let's keep the momentum, but stay alert for any surprises.""","{""P2"": {""row"": ""Careless-to-truth"", ""col"": ""Opportunistic"", ""tactic"": ""Technobabble"", ""scale"": ""Mach-IV"", ""level"": ""High""}, ""P3"": {""row"": ""Selective / Framing"", ""col"": ""Cooperative"", ""tactic"": ""Bayesian hedging"", ""scale"": ""GRS"", ""level"": ""Moderate""}, ""P4"": {""row"": ""Counterfactual"", ""col"": ""Defensive"", ""tactic"": ""Self-deception"", ""scale"": ""Mach-IV"", ""level"": ""Low""}, ""P5"": {""row"": ""Careless-to-truth"", ""col"": ""Cooperative"", ""tactic"": ""Noisy sincerity"", ""scale"": ""GRS"", ""level"": ""High""}}"
